request_date,blood_group,hospital_id,units_requested,request_count,avg_urgency_score,day_of_week,month,week_of_year,blood_group_enc,lag_1_units,lag_7_units,rolling_7d_mean
2025-05-05,A+,HOS001,6,2,1.5,0,5,19,1,0.0,0.0,0.0
2025-06-03,A+,HOS001,2,1,1.0,1,6,23,1,6.0,0.0,6.0
2025-06-09,A+,HOS001,3,1,1.0,0,6,24,1,2.0,0.0,4.0
2025-07-06,A+,HOS001,2,1,0.0,6,7,27,1,3.0,0.0,3.6666666666666665
2025-07-11,A+,HOS001,3,1,1.0,4,7,28,1,2.0,0.0,3.25
2025-07-18,A+,HOS001,1,1,0.0,4,7,29,1,3.0,0.0,3.2
2025-07-27,A+,HOS001,2,1,0.0,6,7,30,1,1.0,0.0,2.8333333333333335
2025-08-01,A+,HOS001,2,1,1.0,4,8,31,1,2.0,6.0,2.7142857142857144
2025-08-06,A+,HOS001,4,1,1.0,2,8,32,1,2.0,2.0,2.142857142857143
2025-08-07,A+,HOS001,6,1,2.0,3,8,32,1,4.0,3.0,2.4285714285714284
2025-09-02,A+,HOS001,2,1,0.0,1,9,36,1,6.0,2.0,2.857142857142857
2025-09-08,A+,HOS001,4,1,2.0,0,9,37,1,2.0,3.0,2.857142857142857
2025-09-17,A+,HOS001,5,1,2.0,2,9,38,1,4.0,1.0,3.0
2025-10-13,A+,HOS001,9,1,3.0,0,10,42,1,5.0,2.0,3.5714285714285716
2025-10-18,A+,HOS001,8,2,1.5,5,10,42,1,9.0,2.0,4.571428571428571
2025-10-19,A+,HOS001,3,1,1.0,6,10,42,1,8.0,4.0,5.428571428571429
2025-11-22,A+,HOS001,4,1,2.0,5,11,47,1,3.0,6.0,5.285714285714286
2025-12-01,A+,HOS001,1,1,0.0,0,12,49,1,4.0,2.0,5.0
2025-12-10,A+,HOS001,2,1,1.0,2,12,50,1,1.0,4.0,4.857142857142857
2025-12-17,A+,HOS001,6,2,1.0,2,12,51,1,2.0,5.0,4.571428571428571
2025-12-20,A+,HOS001,3,1,1.0,5,12,51,1,6.0,9.0,4.714285714285714
2025-12-21,A+,HOS001,2,1,1.0,6,12,51,1,3.0,8.0,3.857142857142857
2025-12-22,A+,HOS001,4,1,2.0,0,12,52,1,2.0,3.0,3.0
2026-01-04,A+,HOS001,20,2,2.5,6,1,1,1,4.0,4.0,3.142857142857143
2026-01-05,A+,HOS001,2,1,0.0,0,1,2,1,20.0,1.0,5.428571428571429
2026-01-06,A+,HOS001,4,1,1.0,1,1,2,1,2.0,2.0,5.571428571428571
2026-01-12,A+,HOS001,4,1,1.0,0,1,3,1,4.0,6.0,5.857142857142857
2026-01-14,A+,HOS001,2,1,0.0,2,1,3,1,4.0,3.0,5.571428571428571
2026-01-17,A+,HOS001,2,1,0.0,5,1,3,1,2.0,2.0,5.428571428571429
2026-01-19,A+,HOS001,2,1,1.0,0,1,4,1,2.0,4.0,5.428571428571429
2026-01-28,A+,HOS001,4,1,1.0,2,1,5,1,2.0,20.0,5.142857142857143
2026-01-31,A+,HOS001,3,1,1.0,5,1,5,1,4.0,2.0,2.857142857142857
2026-02-03,A+,HOS001,2,1,0.0,1,2,6,1,3.0,4.0,3.0
2026-02-04,A+,HOS001,2,1,1.0,2,2,6,1,2.0,4.0,2.7142857142857144
2026-03-15,A+,HOS001,5,1,2.0,6,3,11,1,2.0,2.0,2.4285714285714284
2026-03-23,A+,HOS001,3,1,1.0,0,3,13,1,5.0,2.0,2.857142857142857
2026-04-14,A+,HOS001,4,1,1.0,1,4,16,1,3.0,2.0,3.0
2026-04-17,A+,HOS001,4,1,1.0,4,4,16,1,4.0,4.0,3.2857142857142856
2026-04-20,A+,HOS001,7,1,3.0,0,4,17,1,4.0,3.0,3.2857142857142856
2026-04-21,A+,HOS001,4,1,1.0,1,4,17,1,7.0,2.0,3.857142857142857
2025-05-11,A+,HOS002,5,2,1.0,6,5,19,1,0.0,0.0,0.0
2025-05-14,A+,HOS002,3,1,1.0,2,5,20,1,5.0,0.0,5.0
2025-05-17,A+,HOS002,2,1,0.0,5,5,20,1,3.0,0.0,4.0
2025-05-24,A+,HOS002,1,1,0.0,5,5,21,1,2.0,0.0,3.3333333333333335
2025-05-30,A+,HOS002,4,2,0.5,4,5,22,1,1.0,0.0,2.75
2025-06-07,A+,HOS002,2,1,0.0,5,6,23,1,4.0,0.0,3.0
2025-06-16,A+,HOS002,2,1,1.0,0,6,25,1,2.0,0.0,2.8333333333333335
2025-06-18,A+,HOS002,3,1,1.0,2,6,25,1,2.0,5.0,2.7142857142857144
2025-06-20,A+,HOS002,4,1,1.0,4,6,25,1,3.0,3.0,2.4285714285714284
2025-06-24,A+,HOS002,2,1,0.0,1,6,26,1,4.0,2.0,2.5714285714285716
2025-07-03,A+,HOS002,12,1,3.0,3,7,27,1,2.0,1.0,2.5714285714285716
2025-07-11,A+,HOS002,4,1,1.0,4,7,28,1,12.0,4.0,4.142857142857143
2025-08-10,A+,HOS002,1,1,0.0,6,8,32,1,4.0,2.0,4.142857142857143
2025-08-24,A+,HOS002,4,1,1.0,6,8,34,1,1.0,2.0,4.0
2025-08-26,A+,HOS002,5,1,2.0,1,8,35,1,4.0,3.0,4.285714285714286
2025-08-27,A+,HOS002,2,1,1.0,2,8,35,1,5.0,4.0,4.571428571428571
2025-09-09,A+,HOS002,2,1,0.0,1,9,37,1,2.0,2.0,4.285714285714286
2025-09-15,A+,HOS002,4,1,1.0,0,9,38,1,2.0,12.0,4.285714285714286
2025-10-05,A+,HOS002,1,1,0.0,6,10,40,1,4.0,4.0,3.142857142857143
2025-10-28,A+,HOS002,14,1,3.0,1,10,44,1,1.0,1.0,2.7142857142857144
2025-11-08,A+,HOS002,1,1,0.0,5,11,45,1,14.0,4.0,4.571428571428571
2025-11-12,A+,HOS002,7,1,2.0,2,11,46,1,1.0,5.0,4.142857142857143
2025-11-14,A+,HOS002,15,1,3.0,4,11,46,1,7.0,2.0,4.428571428571429
2025-11-15,A+,HOS002,7,1,2.0,5,11,46,1,15.0,2.0,6.285714285714286
2025-11-18,A+,HOS002,1,1,0.0,1,11,47,1,7.0,4.0,7.0
2025-11-24,A+,HOS002,2,1,1.0,0,11,48,1,1.0,1.0,6.571428571428571
2025-11-26,A+,HOS002,8,1,2.0,2,11,48,1,2.0,14.0,6.714285714285714
2025-11-30,A+,HOS002,1,1,0.0,6,11,48,1,8.0,1.0,5.857142857142857
2025-12-01,A+,HOS002,7,1,3.0,0,12,49,1,1.0,7.0,5.857142857142857
2025-12-24,A+,HOS002,3,1,1.0,2,12,52,1,7.0,15.0,5.857142857142857
2025-12-27,A+,HOS002,1,1,0.0,5,12,52,1,3.0,7.0,4.142857142857143
2026-01-18,A+,HOS002,11,1,3.0,6,1,3,1,1.0,1.0,3.2857142857142856
2026-01-19,A+,HOS002,1,1,0.0,0,1,4,1,11.0,2.0,4.714285714285714
2026-01-20,A+,HOS002,2,1,0.0,1,1,4,1,1.0,8.0,4.571428571428571
2026-01-21,A+,HOS002,2,1,0.0,2,1,4,1,2.0,1.0,3.7142857142857144
2026-01-25,A+,HOS002,3,1,1.0,6,1,4,1,2.0,7.0,3.857142857142857
2026-02-03,A+,HOS002,2,1,1.0,1,2,6,1,3.0,3.0,3.2857142857142856
2026-02-16,A+,HOS002,4,1,2.0,0,2,8,1,2.0,1.0,3.142857142857143
2026-02-23,A+,HOS002,7,1,2.0,0,2,9,1,4.0,11.0,3.5714285714285716
2026-02-25,A+,HOS002,4,1,1.0,2,2,9,1,7.0,1.0,3.0
2026-03-09,A+,HOS002,12,2,1.5,0,3,11,1,4.0,2.0,3.4285714285714284
2026-03-10,A+,HOS002,3,1,1.0,1,3,11,1,12.0,2.0,4.857142857142857
2026-03-26,A+,HOS002,3,1,1.0,3,3,13,1,3.0,3.0,5.0
2026-03-27,A+,HOS002,2,1,1.0,4,3,13,1,3.0,2.0,5.0
2026-04-21,A+,HOS002,2,1,1.0,1,4,17,1,2.0,4.0,5.0
2026-05-01,A+,HOS002,2,1,1.0,4,5,18,1,2.0,7.0,4.714285714285714
2025-05-11,A+,HOS003,2,1,0.0,6,5,19,1,0.0,0.0,0.0
2025-05-13,A+,HOS003,4,1,2.0,1,5,20,1,2.0,0.0,2.0
2025-05-16,A+,HOS003,9,1,3.0,4,5,20,1,4.0,0.0,3.0
2025-06-05,A+,HOS003,1,1,0.0,3,6,23,1,9.0,0.0,5.0
2025-06-08,A+,HOS003,2,1,0.0,6,6,23,1,1.0,0.0,4.0
2025-06-16,A+,HOS003,8,1,2.0,0,6,25,1,2.0,0.0,3.6
2025-06-25,A+,HOS003,4,1,1.0,2,6,26,1,8.0,0.0,4.333333333333333
2025-06-28,A+,HOS003,4,1,2.0,5,6,26,1,4.0,2.0,4.285714285714286
2025-07-04,A+,HOS003,4,1,1.0,4,7,27,1,4.0,4.0,4.571428571428571
2025-07-08,A+,HOS003,8,1,2.0,1,7,28,1,4.0,9.0,4.571428571428571
2025-07-20,A+,HOS003,1,1,0.0,6,7,29,1,8.0,1.0,4.428571428571429
2025-07-22,A+,HOS003,1,1,0.0,1,7,30,1,1.0,2.0,4.428571428571429
2025-08-02,A+,HOS003,6,1,3.0,5,8,31,1,1.0,8.0,4.285714285714286
2025-08-17,A+,HOS003,2,1,1.0,6,8,33,1,6.0,4.0,4.0
2025-08-24,A+,HOS003,7,1,2.0,6,8,34,1,2.0,4.0,3.7142857142857144
2025-08-26,A+,HOS003,2,1,0.0,1,8,35,1,7.0,4.0,4.142857142857143
2025-09-01,A+,HOS003,2,1,1.0,0,9,36,1,2.0,8.0,3.857142857142857
2025-09-08,A+,HOS003,6,1,2.0,0,9,37,1,2.0,1.0,3.0
2025-09-13,A+,HOS003,4,1,2.0,5,9,37,1,6.0,1.0,3.7142857142857144
2025-09-25,A+,HOS003,2,1,1.0,3,9,39,1,4.0,6.0,4.142857142857143
2025-10-05,A+,HOS003,6,1,3.0,6,10,40,1,2.0,2.0,3.5714285714285716
2025-10-06,A+,HOS003,13,1,3.0,0,10,41,1,6.0,7.0,4.142857142857143
2025-10-08,A+,HOS003,1,1,0.0,2,10,41,1,13.0,2.0,5.0
2025-10-11,A+,HOS003,6,1,2.0,5,10,41,1,1.0,2.0,4.857142857142857
2025-10-18,A+,HOS003,5,2,1.0,5,10,42,1,6.0,6.0,5.428571428571429
2025-11-01,A+,HOS003,4,2,0.5,5,11,44,1,5.0,4.0,5.285714285714286
2025-11-21,A+,HOS003,4,1,1.0,4,11,47,1,4.0,2.0,5.285714285714286
2025-11-25,A+,HOS003,2,1,0.0,1,11,48,1,4.0,6.0,5.571428571428571
2025-12-15,A+,HOS003,2,1,1.0,0,12,51,1,2.0,13.0,5.0
2025-12-18,A+,HOS003,2,1,1.0,3,12,51,1,2.0,1.0,3.4285714285714284
2025-12-21,A+,HOS003,4,1,2.0,6,12,51,1,2.0,6.0,3.5714285714285716
2025-12-31,A+,HOS003,4,1,2.0,2,12,1,1,4.0,5.0,3.2857142857142856
2026-01-17,A+,HOS003,4,1,2.0,5,1,3,1,4.0,4.0,3.142857142857143
2026-02-07,A+,HOS003,2,1,0.0,5,2,6,1,4.0,4.0,3.142857142857143
2026-02-10,A+,HOS003,4,1,1.0,1,2,7,1,2.0,2.0,2.857142857142857
2026-02-18,A+,HOS003,2,1,0.0,2,2,8,1,4.0,2.0,3.142857142857143
2026-02-26,A+,HOS003,1,1,0.0,3,2,9,1,2.0,2.0,3.142857142857143
2026-02-27,A+,HOS003,2,1,1.0,4,2,9,1,1.0,4.0,3.0
2026-03-06,A+,HOS003,3,1,1.0,4,3,10,1,2.0,4.0,2.7142857142857144
2026-03-16,A+,HOS003,4,1,1.0,0,3,12,1,3.0,4.0,2.5714285714285716
2026-03-24,A+,HOS003,2,1,0.0,1,3,13,1,4.0,2.0,2.5714285714285716
2026-03-27,A+,HOS003,7,1,3.0,4,3,13,1,2.0,4.0,2.5714285714285716
2026-03-28,A+,HOS003,2,1,0.0,5,3,13,1,7.0,2.0,3.0
2026-04-07,A+,HOS003,1,1,0.0,1,4,15,1,2.0,1.0,3.0
2026-04-11,A+,HOS003,7,1,2.0,5,4,15,1,1.0,2.0,3.0
2026-04-14,A+,HOS003,5,1,2.0,1,4,16,1,7.0,3.0,3.7142857142857144
